RANK,GENE_SYMBOL,NUMBER_PATHWAYS
296,ICAM1,18
297,RXRA,18
298,STAT5A,18
299,IFNGR1,18
300,IFNAR1,18
301,AGTR1,17
302,VDAC2,17
303,C3,17
304,IFNGR2,17
305,SYK,17
306,RAP1A,17
307,IFNAR2,17
308,FOXO1,17
309,ITGAM,17
310,PPP2R1A,17
311,PPP2R1B,17
312,CD40,17
313,CCNE1,17
314,WNT4,17
315,POLK,17
316,CCL2,17
317,CCNE2,17
318,FGFR1,17
319,PRKCD,17
320,TYK2,17
321,FZD3,17
322,STAT2,17
323,AGT,16
324,CCL5,16
325,IRS2,16
326,FXYD2,16
327,HGF,16
328,RAP1B,16
329,GRIA2,16
330,PIK3C3,16
331,CCND3,16
332,FOXO3,16
333,CACNA1A,16
334,PRKAB2,16
335,CSF2,16
336,GRIN2D,16
337,WNT16,16
338,WNT3,16
339,WNT3A,16
340,WNT5A,16
341,WNT5B,16
342,ATP2A1,16
343,ATP2A2,16
344,ATP2A3,16
345,ITGA4,16
346,TICAM1,16
347,ITGA2,16
348,RIPK1,16
349,IL4,16
350,PLD1,16
351,IL18,16
352,PLD2,16
353,APC,16
354,APC2,16
355,BIRC2,16
356,BIRC3,16
357,WNT1,16
358,GRIN2C,16
359,PRKAG3,16
360,PRKAB1,16
361,ITGA2B,16
362,PRKAG2,16
363,PRKCZ,16
364,MMP9,16
365,PRKAG1,16
366,CASP1,16
367,JAK3,15
368,GRM1,15
369,MYL9,15
370,GCK,15
371,HK1,15
372,DVL2,15
373,FYN,15
374,HK2,15
375,HK3,15
376,HKDC1,15
377,SLC25A6,15
378,DVL3,15
379,ITGA6,15
380,TSC2,15
381,EIF2S1,15
382,HSP90AA1,15
383,VAV2,15
384,HSP90AB1,15
385,GRIA1,15
386,ALDH1B1,15
387,CD14,15
388,ALDH2,15
389,ALDH3A2,15
390,ALDH7A1,15
391,EIF4EBP1,15
392,FGF2,15
393,CACNA1B,15
394,SP1,15
395,DLD,15
396,SLC25A5,15
397,SLC25A4,15
398,ELK1,15
399,SLC25A31,15
400,RYR2,15
401,IRF9,15
402,VAV3,15
403,CYBB,15
404,WNT9B,15
405,WNT8B,15
406,WNT11,15
407,WNT10B,15
408,WNT2,15
409,WNT10A,15
410,WNT2B,15
411,FZD9,15
412,FZD8,15
413,WNT6,15
414,TGFA,15
415,WNT7B,15
416,WNT8A,15
417,FZD7,15
418,FZD6,15
419,WNT7A,15
420,WNT9A,15
421,FZD5,15
422,FZD1,15
423,FZD4,15
424,DVL1,15
425,VAV1,15
426,FZD10,15
427,FZD2,15
428,TUBA3C,14
429,XIAP,14
430,ATM,14
431,CXCL1,14
432,CD86,14
433,UQCRFS1,14
434,TUBA1C,14
435,MYL2,14
436,TUBA4A,14
437,TUBA3D,14
438,TUBAL3,14
439,TUBA3E,14
440,THBS1,14
441,AXIN2,14
442,TUBA8,14
443,GRIA3,14
444,AXIN1,14
445,CASP7,14
446,CXCL2,14
