PATHWAY_ID1,PATHWAY_ID2,OVERLAP_COUNT
hsa05200,hsa05213,56
hsa05205,hsa05206,56
hsa05207,hsa05224,56
hsa04010,hsa04921,55
hsa04010,hsa05205,55
hsa04015,hsa04062,55
hsa04022,hsa04371,55
hsa04024,hsa04935,55
hsa04140,hsa05022,55
hsa04145,hsa05152,55
hsa04151,hsa05169,55
hsa04151,hsa05417,55
hsa04210,hsa05417,55
hsa04261,hsa05414,55
hsa04380,hsa05167,55
hsa04514,hsa04517,55
hsa04517,hsa05131,55
hsa04517,hsa05135,55
hsa04613,hsa05131,55
hsa04650,hsa05167,55
hsa04668,hsa05161,55
hsa04713,hsa04723,55
hsa04713,hsa04725,55
hsa04723,hsa04728,55
hsa04723,hsa05014,55
hsa04936,hsa05169,55
hsa05010,hsa05170,55
hsa05132,hsa05170,55
hsa05160,hsa05171,55
hsa05164,hsa05170,55
hsa05200,hsa05211,55
hsa04015,hsa04517,54
hsa04015,hsa04611,54
hsa04020,hsa04151,54
hsa04024,hsa04925,54
hsa04081,hsa05163,54
hsa04110,hsa04114,54
hsa04110,hsa05166,54
hsa04140,hsa05131,54
hsa04150,hsa04550,54
hsa04210,hsa05022,54
hsa04310,hsa04390,54
hsa04310,hsa04916,54
hsa04310,hsa04934,54
hsa04390,hsa05225,54
hsa04611,hsa04921,54
hsa04620,hsa05160,54
hsa04621,hsa05162,54
hsa04625,hsa05163,54
hsa04713,hsa05163,54
hsa04723,hsa04725,54
hsa04725,hsa04921,54
hsa04728,hsa04926,54
hsa04814,hsa05016,54
hsa04814,hsa05022,54
hsa04820,hsa05410,54
hsa04820,hsa05414,54
hsa04916,hsa05010,54
hsa05012,hsa05017,54
hsa05135,hsa05163,54
hsa05214,hsa05225,54
hsa05220,hsa05225,54
hsa01100,hsa01212,53
hsa01522,hsa05207,53
hsa04010,hsa04510,53
hsa04015,hsa05205,53
hsa04024,hsa04921,53
hsa04217,hsa04621,53
hsa04310,hsa05165,53
hsa04310,hsa05226,53
hsa04371,hsa04713,53
hsa04371,hsa04725,53
hsa04371,hsa04926,53
hsa04380,hsa05417,53
hsa04621,hsa05132,53
hsa04625,hsa05170,53
hsa04713,hsa04921,53
hsa04728,hsa05031,53
hsa04912,hsa05200,53
hsa04921,hsa05200,53
hsa04925,hsa04927,53
hsa04926,hsa05170,53
hsa04935,hsa05161,53
hsa05034,hsa05163,53
hsa05130,hsa05417,53
hsa05135,hsa05161,53
hsa05145,hsa05169,53
hsa05146,hsa05200,53
hsa05170,hsa05235,53
hsa05207,hsa05225,53
hsa01521,hsa04014,52
hsa04010,hsa05022,52
hsa04014,hsa05205,52
hsa04015,hsa05207,52
hsa04062,hsa04151,52
hsa04062,hsa05417,52
hsa04071,hsa05200,52
hsa04081,hsa04935,52
hsa04150,hsa05022,52
hsa04151,hsa05166,52
hsa04210,hsa05132,52
hsa04217,hsa05164,52
hsa04218,hsa05165,52
hsa04310,hsa05224,52
hsa04620,hsa05132,52
hsa04620,hsa05200,52
hsa04659,hsa05200,52
hsa04660,hsa05135,52
hsa04723,hsa04726,52
hsa04724,hsa05163,52
hsa04725,hsa04915,52
hsa04728,hsa05200,52
hsa04750,hsa04912,52
hsa04912,hsa05163,52
hsa04926,hsa05166,52
hsa04926,hsa05167,52
hsa04934,hsa05163,52
hsa04936,hsa05170,52
hsa05022,hsa05131,52
hsa05132,hsa05200,52
hsa05145,hsa05168,52
hsa05145,hsa05417,52
hsa05161,hsa05215,52
hsa05162,hsa05163,52
hsa05164,hsa05166,52
hsa05210,hsa05212,52
hsa05213,hsa05226,52
hsa05217,hsa05226,52
hsa00240,hsa01232,51
hsa00270,hsa01100,51
hsa00565,hsa01100,51
hsa00600,hsa01100,51
hsa01100,hsa04072,51
hsa01200,hsa01230,51
hsa01522,hsa04915,51
hsa01522,hsa04926,51
hsa04010,hsa05166,51
hsa04015,hsa05218,51
hsa04020,hsa04261,51
hsa04020,hsa04925,51
hsa04082,hsa04713,51
